card,rarity,colors,expert_pct,actual_pct,discrepancy,gih_wr,gih_count
Arcane Omens,uncommon,B,0.0583,0.9099,-0.8516,60.30,26313
Divergent Equation,uncommon,U,0.0760,0.7703,-0.6943,58.30,33362
Mathemagics,mythic,U,0.2880,0.9435,-0.6555,61.30,8860
Wisdom of Ages,rare,U,0.0618,0.6572,-0.5954,57.40,15251
Pursue the Past,common,RW,0.2845,0.8763,-0.5919,59.80,71773
Brotherhood's End,rare,R,0.3940,0.9046,-0.5106,60.00,3129
Archaic's Agony,uncommon,R,0.1148,0.6254,-0.5106,57.10,21916
Potioner's Trove,common,,0.2138,0.6926,-0.4788,57.60,81121
Great Hall of the Biblioplex,rare,,0.3269,0.8004,-0.4735,58.70,15487
Brush Off,uncommon,U,0.2703,0.7438,-0.4735,58.00,27890
Prismatic Ending,uncommon,W,0.2314,0.6926,-0.4611,57.60,2457
Brain Freeze,uncommon,U,0.0724,0.5300,-0.4576,56.20,2314
Snarl Song,uncommon,G,0.5106,0.9594,-0.4488,62.00,43001
Strixhaven Skycoach,uncommon,,0.4152,0.8622,-0.4470,59.50,44362
Exhibition Tidecaller,rare,U,0.5000,0.9382,-0.4382,61.20,18090
Cost of Brilliance,common,B,0.2774,0.7102,-0.4329,57.70,43766
Render Speechless,common,BW,0.3057,0.7297,-0.4240,57.90,39558
Resonating Lute,rare,RU,0.0265,0.4346,-0.4081,55.60,13719
Living History,uncommon,R,0.2385,0.6431,-0.4046,57.20,28864
Ajani's Response,common,W,0.3551,0.7580,-0.4028,58.10,70316
Planar Engineering,rare,G,0.1042,0.4876,-0.3834,56.00,6220
Spell Pierce,uncommon,U,0.0406,0.3993,-0.3587,55.20,9771
Inkshape Demonstrator,uncommon,W,0.2951,0.6254,-0.3304,57.10,25784
Rubble Rouser,common,R,0.4647,0.7827,-0.3180,58.50,84495
Sundering Archaic,uncommon,,0.5177,0.8339,-0.3163,59.00,36786
Interjection,common,W,0.2279,0.5300,-0.3021,56.20,19010
Transcendent Archaic,uncommon,,0.3728,0.6731,-0.3004,57.50,24009
Bring to Light,rare,GU,0.0336,0.3322,-0.2986,54.50,892
Masterful Flourish,common,B,0.1643,0.4611,-0.2968,55.80,16659
Heated Argument,common,R,0.2208,0.5106,-0.2898,56.10,63321
Repel Calamity,uncommon,W,0.5813,0.8693,-0.2880,59.70,35153
Imperious Inkmage,common,BW,0.3763,0.6572,-0.2809,57.40,42930
Ascendant Dustspeaker,common,W,0.1961,0.4753,-0.2792,55.90,41841
Dissection Practice,uncommon,B,0.4788,0.7580,-0.2792,58.10,21147
Empty the Warrens,common,R,0.1078,0.3816,-0.2739,55.00,1151
Postmortem Professor,rare,B,0.6555,0.9276,-0.2721,60.70,12450
Molten Note,uncommon,RW,0.6343,0.9046,-0.2703,60.00,39833
Force of Will,mythic,U,0.1784,0.4435,-0.2650,55.70,1007
Tome Blast,common,R,0.4717,0.7297,-0.2580,57.90,94752
Stargaze,uncommon,B,0.1678,0.4240,-0.2562,55.50,7511
Feed the Swarm,common,B,0.1749,0.4240,-0.2491,55.50,22106
End of the Hunt,uncommon,B,0.5883,0.8339,-0.2456,59.00,30318
Garrison Excavator,uncommon,R,0.4187,0.6572,-0.2385,57.40,30900
Lecturing Scornmage,uncommon,B,0.5459,0.7703,-0.2244,58.30,23690
Culling Ritual,rare,BG,0.0371,0.2473,-0.2102,53.60,558
Stone Docent,common,W,0.4081,0.6113,-0.2032,57.00,72814
Seize the Spoils,common,R,0.1890,0.3922,-0.2032,55.10,42137
Inkling Mascot,common,BW,0.3622,0.5530,-0.1908,56.40,50458
Spirit Mascot,common,RW,0.3410,0.5300,-0.1890,56.20,65599
Return the Favor,uncommon,R,0.0230,0.2102,-0.1873,53.10,6417
Melancholic Poet,common,B,0.3339,0.5106,-0.1767,56.10,51848
Mana Sculpt,rare,U,0.5601,0.7297,-0.1696,57.90,13369
Rancorous Archaic,common,,0.1290,0.2968,-0.1678,54.20,23607
Mage Tower Referee,common,,0.1184,0.2845,-0.1661,54.00,19773
Chase Inspiration,common,U,0.1466,0.3110,-0.1643,54.30,13063
Pestbrood Sloth,uncommon,G,0.6943,0.8569,-0.1625,59.40,29390
Disdainful Stroke,uncommon,U,0.4417,0.5989,-0.1572,56.90,27535
"Codie, Vociferous Codex",rare,,0.1714,0.3216,-0.1502,54.40,585
Rapier Wit,common,W,0.1608,0.3110,-0.1502,54.30,20475
Silverquill Charm,uncommon,BW,0.7438,0.8905,-0.1466,59.90,25850
Daze,uncommon,U,0.6979,0.8428,-0.1449,59.20,2528
Startled Relic Sloth,uncommon,RW,0.6025,0.7438,-0.1413,58.00,33706
Stand Up for Yourself,uncommon,W,0.5707,0.7102,-0.1396,57.70,30592
Owlin Historian,common,W,0.3233,0.4611,-0.1378,55.80,46636
Scolding Administrator,uncommon,BW,0.7862,0.9223,-0.1360,60.60,27647
Abrade,uncommon,R,0.6661,0.8004,-0.1343,58.70,39144
Duel Tactics,uncommon,R,0.2915,0.4240,-0.1325,55.50,12464
Expressive Firedancer,common,R,0.3198,0.4435,-0.1237,55.70,51448
Together as One,rare,,0.8781,0.9982,-0.1201,65.90,21255
Tablet of Discovery,uncommon,R,0.5071,0.6254,-0.1184,57.10,29855
Ark of Hunger,rare,RW,0.8710,0.9876,-0.1166,64.20,21077
Big Score,common,R,0.4576,0.5742,-0.1166,56.60,2683
Procrastinate,common,U,0.0689,0.1820,-0.1131,52.60,25887
Shattered Acolyte,common,W,0.3975,0.5106,-0.1131,56.10,53013
Quick Study,common,U,0.3799,0.4876,-0.1078,56.00,45931
Eager Glyphmage,common,W,0.4611,0.5671,-0.1060,56.50,48655
Deduce,common,U,0.5389,0.6431,-0.1042,57.20,27077
Visionary's Dance,common,RU,0.4505,0.5530,-0.1025,56.40,73677
Zaffai and the Tempests,rare,RU,0.0442,0.1466,-0.1025,52.00,6302
Run Behind,common,U,0.5565,0.6572,-0.1007,57.40,69186
Essence Scatter,common,U,0.5247,0.6254,-0.1007,57.10,80184
"Page, Loose Leaf",common,,0.1219,0.2191,-0.0972,53.20,13045
Dig Site Inventory,common,W,0.3657,0.4611,-0.0954,55.80,47842
Shared Roots,uncommon,G,0.3163,0.4099,-0.0936,55.40,22742
Quandrix Charm,uncommon,GU,0.5848,0.6731,-0.0883,57.50,22430
Subterranean Tremors,mythic,R,0.8039,0.8905,-0.0866,59.90,2089
Embrace the Paradox,common,GU,0.4541,0.5406,-0.0866,56.30,50059
Practiced Offense,rare,W,0.9099,0.9947,-0.0848,65.20,18277
Unsubtle Mockery,common,R,0.6625,0.7438,-0.0813,58.00,95481
Sheoldred's Edict,uncommon,B,0.2420,0.3216,-0.0795,54.40,1687
"Mica, Reader of Ruins",uncommon,R,0.1572,0.2367,-0.0795,53.50,9668
Decorum Dissertation,mythic,B,0.4753,0.5530,-0.0777,56.40,5328
Fields of Strife,common,,0.6184,0.6926,-0.0742,57.60,96396
Glorious Decay,common,G,0.0300,0.1025,-0.0724,51.20,3841
Zimone's Experiment,uncommon,G,0.1325,0.2014,-0.0689,53.00,11381
Textbook Tabulator,common,U,0.1007,0.1661,-0.0654,52.30,18316
Improvisation Capstone,mythic,R,0.9134,0.9788,-0.0654,63.50,9555
Vicious Rivalry,rare,BG,0.7615,0.8233,-0.0618,58.90,12515
Harsh Annotation,uncommon,W,0.0053,0.0618,-0.0565,50.20,5155
Proctor's Gaze,uncommon,GU,0.7014,0.7580,-0.0565,58.10,33221
Tester of the Tangential,uncommon,U,0.2562,0.3110,-0.0548,54.30,20478
Primary Research,uncommon,W,0.3375,0.3922,-0.0548,55.10,22820
Colorstorm Stallion,rare,RU,0.9205,0.9735,-0.0530,62.80,18071
Reprieve,uncommon,W,0.8392,0.8905,-0.0512,59.90,3748
Impractical Joke,uncommon,R,0.7968,0.8428,-0.0459,59.20,44334
