"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","239108","7.14","28387","10.54","36595","20.4%","52.7%","6467","52.8%","8971","52.8%","15438","52.8%","21153","52.6%","0.2pp"
"Old Thrush","","C","235123","7.03","26793","10.43","40018","23.8%","52.3%","7381","52.1%","10149","53.8%","17530","53.1%","22490","51.8%","1.3pp"
"Troop of Ponies","","U","84630","5.10","11460","7.49","35073","49.0%","53.2%","6525","54.2%","8684","53.2%","15209","53.7%","19815","52.9%","0.8pp"
"Belladonna Took","W","R","16687","3.39","3549","4.09","13210","60.9%","51.9%","2431","50.7%","3814","52.7%","6245","51.9%","6919","51.9%","0.0pp"
"Bilbo's Gambit","W","R","26700","5.15","3258","7.84","3492","17.3%","48.4%","610","47.2%","941","48.0%","1551","47.7%","1941","48.9%","-1.2pp"
"Bofur, Reliable Guardian","W","U","66427","4.25","12722","5.60","62298","77.2%","55.3%","10845","53.8%","16489","58.0%","27334","56.3%","34683","54.4%","1.9pp"
"Celebrate the Mountain-king","W","U","40709","2.65","18286","2.91","108524","91.2%","57.9%","18325","59.4%","31729","63.4%","50054","61.9%","58408","54.5%","7.5pp"
"Dáin, Lord of the Iron Hills","W","U","64397","4.25","11742","5.63","53491","72.7%","54.1%","9441","53.7%","13844","54.1%","23285","53.9%","29996","54.2%","-0.3pp"
"Dwarven Provisioner","W","C","218096","6.31","34118","8.78","128190","59.3%","55.2%","22856","53.7%","34876","56.0%","57732","55.1%","70130","55.3%","-0.2pp"
"Dwarven Shortsword","W","C","209404","6.06","28394","8.75","96229","53.9%","54.2%","16306","52.1%","24084","53.7%","40390","53.1%","55246","55.0%","-1.9pp"
"Eagle of the Great Shelf","W","U","84561","5.82","10652","8.35","26857","40.8%","51.2%","4326","47.7%","7878","53.9%","12204","51.7%","14795","50.7%","1.0pp"
"The Eagles Are Coming!","W","R","9937","2.11","5394","2.11","30485","88.2%","56.5%","5176","56.9%","9011","61.1%","14187","59.6%","16315","53.9%","5.6pp"
"Esgaroth Garrison","W","C","235057","7.61","31317","10.74","49326","25.0%","54.5%","8150","53.2%","15511","57.9%","23661","56.3%","25784","52.9%","3.5pp"
"Fíli the Pathfinder","W","R","9250","1.98","5493","1.94","32397","89.2%","59.2%","5775","65.6%","8741","66.6%","14516","66.2%","17645","53.2%","13.0pp"
