"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","38646","2.92","16002","3.27","95611","92.8%","57.2%","16946","58.7%","25735","58.7%","42681","58.7%","53162","56.0%","2.7pp"
"Agent Maria Hill","W","U","48900","3.57","15871","4.16","86535","83.8%","58.1%","15296","62.4%","21983","57.3%","37279","59.4%","49144","57.2%","2.2pp"
"Agent of Atlas","W","C","192424","5.82","33946","8.11","140426","64.6%","56.5%","25120","57.5%","34167","54.6%","59287","55.8%","80953","57.0%","-1.2pp"
"Agent Phil Coulson","W","R","8112","1.56","6010","1.56","37389","94.9%","58.3%","6625","67.3%","10186","61.2%","16811","63.6%","20668","54.1%","9.5pp"
"Agents of S.H.I.E.L.D.","W","C","193195","5.88","30963","8.40","116152","58.9%","55.7%","20219","55.2%","30112","55.7%","50331","55.5%","65802","55.9%","-0.4pp"
"Avengers Assemble!","W","M","3741","1.49","2889","1.46","17769","93.5%","58.5%","3011","62.7%","4792","64.7%","7803","63.9%","9969","54.2%","9.7pp"
"Borough Backup","W","C","163660","4.66","39930","6.14","219637","85.2%","57.3%","39769","56.2%","58277","59.2%","98046","58.0%","121610","56.8%","1.2pp"
"Brave Brawler","W","C","158343","4.49","37463","5.90","217200","89.8%","57.4%","38697","58.4%","57188","57.4%","95885","57.8%","121353","57.1%","0.7pp"
"Captain America, Super-Soldier","W","M","3879","1.47","2782","1.47","16622","93.3%","56.8%","2924","59.0%","4667","59.5%","7591","59.3%","9166","54.6%","4.7pp"
"Captain America, Wings of Freedom","W","R","8034","1.53","5872","1.53","35868","94.5%","58.1%","6402","62.5%","9875","60.6%","16277","61.3%","19741","55.5%","5.8pp"
"Captain Marvel, Earth's Protector","W","M","3245","1.27","2842","1.26","18573","96.0%","61.1%","3124","65.0%","5431","70.2%","8555","68.3%","10080","54.9%","13.4pp"
"Captain Mar-Vell, Space-Born","W","U","62579","4.61","9395","6.64","37433","63.2%","54.2%","6207","51.9%","10263","55.3%","16470","54.0%","21145","54.3%","-0.3pp"
"Colleen Wing, Street Samurai","W","U","62841","4.57","10752","6.39","44143","64.5%","55.0%","7854","56.4%","10890","53.8%","18744","54.9%","25377","55.1%","-0.2pp"
"Crowd of True Believers","W","C","211340","7.06","31693","9.94","70136","34.6%","56.2%","12381","57.4%","17066","54.9%","29447","56.0%","40707","56.4%","-0.5pp"
"Helicarrier Strike","W","C","158238","4.42","33471","6.01","184025","85.4%","56.5%","31719","55.4%","49151","58.0%","80870","57.0%","103169","56.1%","0.9pp"
"Hero in Training","W","C","111517","3.35","44867","3.81","278217","94.1%","58.8%","49268","59.7%","76429","61.3%","125697","60.7%","151920","57.3%","3.4pp"
"Invisible Woman, Sue Storm","W","U","70687","5.63","7787","8.62","13252","27.8%","49.2%","2109","42.8%","3356","48.0%","5465","46.0%","7811","51.3%","-5.3pp"
"Jennifer Walters","W","M","3768","1.46","2890","1.44","18078","94.2%","59.3%","3273","64.5%","5031","64.3%","8304","64.4%","9860","55.1%","9.3pp"
"Kree Commandos","W","C","208804","7.03","24057","10.59","30227","19.9%","52.6%","5234","50.6%","7545","52.0%","12779","51.4%","17503","53.4%","-2.0pp"
"Luke Cage, Power Man","W","U","71850","5.59","8459","8.48","19599","37.0%","52.5%","3304","50.0%","4938","52.4%","8242","51.4%","11408","53.2%","-1.8pp"
"The Mind Stone","W","M","4875","1.89","2493","1.91","12829","83.0%","54.6%","2262","57.4%","3428","55.2%","5690","56.0%","7141","53.5%","2.5pp"
"Mockingbird, Ace Agent","W","U","68206","5.22","8295","7.81","20184","39.1%","52.0%","3407","49.0%","5080","51.0%","8487","50.2%","11740","53.2%","-2.9pp"
