"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Emeritus of Ideation","U","M","1416","1.40","1069","1.38","5984","86.6%","59.4%","1022","63.6%","1776","67.9%","2798","66.3%","2974","52.6%","13.8pp"
"Together as One","","R","5198","2.46","3030","2.43","16046","83.6%","58.5%","2667","62.2%","4647","68.1%","7314","66.0%","8082","50.7%","15.3pp"
"Ark of Hunger","WR","R","5171","2.49","2736","2.43","15252","86.2%","60.6%","2697","65.2%","4260","66.3%","6957","65.8%","8151","56.0%","9.9pp"
"Moment of Reckoning","WB","R","5720","2.67","2353","2.64","11819","77.1%","59.9%","1921","61.9%","3313","67.5%","5234","65.4%","6343","54.6%","10.8pp"
"Antiquities on the Loose","W","R","4248","2.09","2371","2.08","13921","88.7%","60.3%","2495","65.9%","3596","65.1%","6091","65.4%","7738","56.2%","9.2pp"
"Practiced Offense","W","R","4142","1.96","2445","1.92","14227","89.8%","60.1%","2375","63.2%","3653","66.3%","6028","65.1%","8101","56.3%","8.8pp"
"Improvisation Capstone","R","M","2010","1.86","1243","1.83","7076","87.7%","59.4%","1245","63.9%","2082","64.4%","3327","64.2%","3427","53.6%","10.6pp"
"Stirring Hopesinger","W","R","3336","1.65","2193","1.61","13166","92.6%","59.7%","2356","64.1%","3603","64.1%","5959","64.1%","7153","55.8%","8.3pp"
"Professor Dellian Fel","BG","M","1406","1.33","1008","1.29","5478","86.1%","57.5%","965","62.9%","1441","64.5%","2406","63.8%","2983","52.1%","11.7pp"
"Colorstorm Stallion","UR","R","4617","2.18","2422","2.15","13492","87.8%","58.2%","2313","64.5%","3988","63.0%","6301","63.5%","6768","52.7%","10.8pp"
"Crackle with Power","R","M","617","2.74","300","","1764","90.8%","59.2%","302","","552","65.6%","854","62.8%","841","54.3%","8.4pp"
"Informed Inkwright","W","R","3859","1.89","2267","1.87","13097","90.2%","59.1%","2387","64.6%","3356","61.4%","5743","62.7%","7290","56.2%","6.5pp"
"Reprieve","W","R","2037","3.73","525","4.29","2523","75.4%","58.0%","463","","649","63.3%","1112","62.7%","1389","54.1%","8.5pp"
"Environmental Scientist","G","U","14709","2.93","5509","3.26","30753","88.9%","57.3%","5700","63.5%","7947","61.8%","13647","62.6%","16603","53.0%","9.6pp"
"Snarl Song","G","U","25377","5.33","6417","6.18","27422","68.6%","57.8%","4579","58.0%","8181","65.0%","12760","62.5%","14008","53.0%","9.5pp"
"Ambitious Augmenter","G","R","4495","2.12","2181","2.16","11700","86.6%","56.6%","2121","64.7%","2995","60.8%","5116","62.4%","6403","52.1%","10.4pp"
"Hardened Academic","WR","R","5686","2.70","2344","2.72","12175","82.3%","59.2%","2153","64.2%","3377","61.2%","5530","62.4%","6649","56.6%","5.8pp"
"Quandrix, the Proof","UG","M","1459","1.44","1031","1.42","5674","89.7%","56.4%","1028","60.3%","1682","62.9%","2710","61.9%","2814","50.1%","11.8pp"
"Winds of Abandon","W","M","564","2.26","263","","1514","90.4%","58.5%","255","","433","","688","61.8%","810","54.8%","7.0pp"
"Arcane Omens","B","U","31062","7.13","5069","9.22","10594","33.6%","57.9%","1804","57.6%","3081","64.2%","4885","61.8%","5520","54.1%","7.7pp"
"Traumatic Critique","UR","R","4808","2.24","2519","2.27","13837","87.8%","57.0%","2393","58.3%","4103","63.6%","6496","61.6%","6669","51.6%","10.0pp"
"Stress Dream","UR","U","18049","3.63","5911","4.17","32951","88.0%","57.7%","5564","57.9%","9827","63.6%","15391","61.5%","16264","53.5%","8.0pp"
"Moseo, Vein's New Dean","B","R","3985","1.89","2037","1.90","11040","87.1%","56.9%","1913","61.4%","2771","61.2%","4684","61.3%","6163","53.4%","7.9pp"
