"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","2166","1.72","1120","1.63","5832","85.8%","53.7%","942","48.0%","1847","58.2%","2789","54.8%","2910","51.9%","2.9pp"
"Rancorous Archaic","","C","90558","7.49","12133","10.66","20333","27.6%","53.4%","3316","51.2%","6105","57.8%","9421","55.5%","10634","51.2%","4.3pp"
"Sundering Archaic","","U","31070","5.10","7286","6.43","29862","66.6%","56.0%","4940","54.9%","9081","61.4%","14021","59.1%","15185","52.7%","6.4pp"
"Together as One","","R","6109","2.43","3635","2.39","19477","83.8%","58.6%","3233","62.2%","5719","68.1%","8952","66.0%","9742","50.7%","15.2pp"
"Transcendent Archaic","","U","33590","5.68","6098","7.54","19081","51.4%","54.3%","3168","53.8%","5682","59.8%","8850","57.7%","9861","50.6%","7.0pp"
"Ajani's Response","W","C","71818","5.20","12366","7.01","58192","74.4%","57.9%","9905","56.8%","15531","60.4%","25436","59.0%","32346","56.9%","2.2pp"
"Antiquities on the Loose","W","R","5131","2.09","2900","2.08","16992","89.3%","60.1%","3076","65.6%","4388","64.8%","7464","65.1%","9419","56.1%","9.1pp"
"Ascendant Dustspeaker","W","C","83547","6.50","11799","9.11","37900","51.3%","56.5%","6260","54.9%","9931","57.3%","16191","56.4%","21686","56.6%","-0.2pp"
"Daydream","W","U","33169","5.99","4211","8.62","8078","30.9%","51.8%","1380","48.6%","2041","50.3%","3421","49.6%","4639","53.5%","-3.9pp"
"Dig Site Inventory","W","C","77281","5.84","12360","7.92","51208","66.5%","56.8%","8658","55.4%","12172","57.5%","20830","56.6%","30281","56.8%","-0.2pp"
"Eager Glyphmage","W","C","81146","6.25","13124","8.48","48141","58.4%","57.4%","8252","56.8%","12272","57.0%","20524","56.9%","27468","57.6%","-0.7pp"
"Elite Interceptor","W","C","65890","4.75","16214","5.68","90124","86.4%","59.3%","16437","61.7%","23113","59.6%","39550","60.5%","50265","58.4%","2.1pp"
"Emeritus of Truce","W","M","2169","1.77","1220","1.77","6805","87.7%","57.8%","1186","59.4%","1774","61.0%","2960","60.4%","3817","55.9%","4.5pp"
"Ennis, Debate Moderator","W","U","27393","4.81","4277","6.39","15754","59.5%","54.1%","2813","49.1%","3853","52.9%","6666","51.3%","9048","56.1%","-4.9pp"
"Erode","W","R","6716","2.49","2108","2.71","10620","82.3%","56.0%","1856","54.2%","2857","59.3%","4713","57.3%","5819","55.0%","2.4pp"
"Graduation Day","W","U","27945","5.19","3888","6.99","12042","49.9%","53.7%","2099","53.2%","2774","51.4%","4873","52.2%","7145","54.8%","-2.6pp"
"Group Project","W","U","25942","4.43","6528","5.26","34127","82.6%","58.1%","6191","58.1%","8435","57.7%","14626","57.9%","19469","58.3%","-0.5pp"
"Harsh Annotation","W","U","31483","5.80","3023","9.00","5696","30.6%","51.7%","964","47.5%","1389","51.6%","2353","49.9%","3311","53.0%","-3.1pp"
"Honorbound Page","W","C","82891","6.41","10618","9.20","29314","44.5%","55.0%","5025","51.6%","7251","55.9%","12276","54.1%","16978","55.6%","-1.5pp"
"Informed Inkwright","W","R","4605","1.88","2721","1.87","15938","90.8%","59.1%","2891","64.4%","4138","61.6%","7029","62.8%","8823","56.1%","6.7pp"
"Inkshape Demonstrator","W","U","26148","4.53","5192","5.59","24965","76.0%","57.5%","4184","57.9%","6414","57.7%","10598","57.8%","14297","57.2%","0.5pp"
"Interjection","W","C","87930","7.30","11003","10.46","18175","26.5%","55.9%","3002","55.8%","4528","56.4%","7530","56.2%","10593","55.6%","0.5pp"
"Joined Researchers","W","R","11199","3.97","2380","4.82","10915","73.1%","56.9%","1957","57.9%","2744","55.6%","4701","56.6%","6201","57.0%","-0.4pp"
"Owlin Historian","W","C","81676","6.30","11928","8.77","44249","59.0%","57.1%","7672","56.2%","11497","56.7%","19169","56.5%","25090","57.6%","-1.1pp"
"Practiced Offense","W","R","4965","1.95","2999","1.91","17584","89.9%","60.5%","2954","63.8%","4542","66.6%","7496","65.5%","9958","56.4%","9.1pp"
"Primary Research","W","U","26677","4.65","5560","5.79","22834","66.3%","56.6%","3831","54.2%","6121","57.3%","9952","56.1%","12831","56.8%","-0.7pp"
"Quill-Blade Laureate","W","U","21411","3.66","5585","4.37","30519","87.0%","57.4%","5538","56.8%","7609","58.3%","13147","57.7%","17304","57.0%","0.7pp"
"Rapier Wit","W","C","86413","7.05","11130","10.11","21657","31.0%","55.3%","3674","52.7%","5336","56.6%","9010","55.0%","12548","55.5%","-0.4pp"
"Rehearsed Debater","W","C","84831","6.70","11760","9.46","33523","46.0%","55.6%","5898","55.9%","7947","53.8%","13845","54.7%","19640","56.3%","-1.6pp"
"Restoration Seminar","W","M","2631","2.16","1290","2.10","6353","77.6%","55.8%","1080","58.0%","1755","59.4%","2835","58.8%","3447","52.9%","5.9pp"
"Shattered Acolyte","W","C","80407","6.00","11992","8.31","49386","65.3%","57.2%","9008","57.1%","11786","55.9%","20794","56.4%","28499","57.8%","-1.4pp"
"Soaring Stoneglider","W","U","26479","4.46","4957","5.66","24053","78.0%","55.9%","4121","52.4%","6276","57.2%","10397","55.3%","13656","56.2%","-0.9pp"
"Spiritcall Enthusiast","W","U","28510","5.11","4517","6.90","14797","52.7%","54.5%","2636","52.6%","3629","53.2%","6265","53.0%","8511","55.7%","-2.7pp"
"Stand Up for Yourself","W","U","24785","4.20","5374","5.17","28043","82.8%","57.7%","4697","56.1%","7308","59.6%","12005","58.2%","15854","57.2%","1.0pp"
"Stirring Hopesinger","W","R","4014","1.64","2669","1.61","15965","92.7%","59.5%","2859","64.5%","4377","64.1%","7236","64.3%","8670","55.4%","8.9pp"
"Stone Docent","W","C","78541","5.88","14355","7.70","69552","76.5%","58.3%","12392","59.1%","16924","56.8%","29316","57.7%","40186","58.7%","-1.0pp"
"Summoned Dromedary","W","U","27851","4.82","5138","6.34","22055","69.5%","55.7%","3734","53.7%","5578","55.8%","9312","55.0%","12781","56.2%","-1.3pp"
"Banishing Betrayal","U","C","82630","6.38","11906","9.03","38872","53.7%","53.4%","6893","50.9%","11206","58.7%","18099","55.7%","19924","51.0%","4.7pp"
"Brush Off","U","U","33797","6.05","5504","8.13","17274","51.0%","55.3%","2864","53.3%","5138","60.3%","8002","57.8%","8797","52.3%","5.5pp"
"Campus Composer","U","U","25303","4.25","5113","5.43","24658","78.8%","53.9%","4121","51.8%","7225","57.1%","11346","55.2%","12857","52.7%","2.4pp"
"Chase Inspiration","U","C","91357","7.99","11056","11.43","11402","17.0%","53.6%","1917","51.3%","3256","56.4%","5173","54.5%","6046","52.4%","2.1pp"
"Deluge Virtuoso","U","C","81995","6.28","10533","9.06","31441","49.0%","52.1%","5563","50.1%","8929","54.8%","14492","53.0%","16320","51.2%","1.8pp"
"Divergent Equation","U","U","32927","5.89","6298","7.49","23401","60.1%","56.5%","3891","52.6%","7301","62.6%","11192","59.1%","11323","52.9%","6.2pp"
"Echocasting Symposium","U","M","2204","1.82","1359","1.77","7321","86.2%","55.9%","1215","54.7%","2173","62.0%","3388","59.4%","3571","51.2%","8.1pp"
"Emeritus of Ideation","U","M","1721","1.39","1299","1.38","7280","86.8%","58.9%","1269","62.7%","2180","67.4%","3449","65.7%","3594","52.2%","13.5pp"
"Encouraging Aviator","U","U","28277","4.88","4408","6.46","16693","64.1%","50.9%","2900","48.7%","4636","53.3%","7536","51.5%","8898","50.3%","1.2pp"
"Essence Scatter","U","C","73393","5.41","14919","7.05","72927","79.8%","55.0%","12849","55.9%","21049","58.5%","33898","57.5%","37291","52.5%","5.1pp"
"Exhibition Tidecaller","U","R","7274","2.80","2848","2.86","15323","84.7%","57.4%","2655","58.8%","4623","63.3%","7278","61.6%","7550","52.2%","9.4pp"
"Flow State","U","U","23537","3.89","6061","4.74","30366","81.8%","55.1%","5415","53.8%","8975","59.9%","14390","57.6%","15107","52.3%","5.3pp"
"Fractal Anomaly","U","U","36726","6.91","4467","10.00","4520","16.9%","47.5%","743","43.3%","1361","51.5%","2104","48.6%","2338","46.2%","2.5pp"
"Fractalize","U","U","35763","6.66","4697","9.50","8273","28.6%","51.6%","1382","48.1%","2270","55.8%","3652","52.9%","4469","50.2%","2.7pp"
"Harmonized Trio","U","R","8021","3.00","2307","3.33","10082","71.9%","52.7%","1824","55.6%","2877","53.7%","4701","54.5%","5226","51.0%","3.5pp"
"Homesickness","U","U","29675","5.13","5631","6.64","23704","69.4%","54.2%","3994","51.6%","7120","58.9%","11114","56.3%","11933","51.7%","4.6pp"
"Hydro-Channeler","U","C","78030","5.86","12791","8.07","55453","72.1%","53.9%","10116","53.9%","15655","55.1%","25771","54.6%","29068","53.2%","1.4pp"
"Jadzi, Steward of Fate","U","R","4973","1.94","2887","1.96","16217","90.1%","55.8%","2888","56.4%","4752","61.2%","7640","59.3%","8176","52.0%","7.4pp"
"Landscape Painter","U","C","81115","6.05","11561","8.59","42282","60.4%","52.7%","7404","50.7%","12078","55.2%","19482","53.5%","22129","52.1%","1.4pp"
"Mana Sculpt","U","R","10296","3.68","2494","4.35","11114","71.8%","54.9%","1798","54.8%","3380","59.1%","5178","57.6%","5636","51.8%","5.8pp"
"Mathemagics","U","M","3748","2.84","1386","2.98","6783","79.5%","56.8%","1165","55.3%","2100","64.3%","3265","61.1%","3196","51.3%","9.8pp"
"Matterbending Mage","U","U","22340","3.72","6683","4.40","36530","87.9%","56.2%","6401","55.6%","10595","60.8%","16996","58.8%","18644","53.5%","5.3pp"
"Muse Seeker","U","U","26424","4.47","5526","5.65","25160","75.2%","53.0%","4624","52.5%","7052","54.7%","11676","53.8%","13091","52.2%","1.6pp"
"Muse's Encouragement","U","C","87470","7.10","11810","9.98","27432","38.4%","52.3%","4560","50.8%","8056","55.6%","12616","53.8%","14201","50.5%","3.3pp"
"Orysa, Tide Choreographer","U","U","28374","4.78","4887","6.35","18668","63.0%","53.2%","3136","51.4%","5433","55.6%","8569","54.1%","9762","52.1%","2.0pp"
"Pensive Professor","U","R","5366","2.12","2635","2.12","14539","89.8%","55.0%","2557","58.2%","4182","59.8%","6739","59.2%","7445","50.9%","8.2pp"
"Procrastinate","U","C","85209","6.85","10908","9.86","26681","40.3%","51.7%","4524","48.4%","7672","55.7%","12196","53.0%","13806","50.2%","2.8pp"
"Quick Study","U","C","83221","6.40","11745","9.06","36327","50.8%","53.2%","6294","53.1%","10622","56.1%","16916","54.9%","18716","51.5%","3.4pp"
"Run Behind","U","C","82151","6.20","14373","8.35","59672","67.5%","55.6%","10217","54.6%","17656","59.7%","27873","57.9%","30615","53.2%","4.6pp"
"Skycoach Conductor","U","R","5940","2.25","2724","2.32","14407","85.6%","55.2%","2454","55.4%","4196","58.8%","6650","57.6%","7439","52.8%","4.7pp"
"Spellbook Seeker","U","C","83046","6.42","9926","9.41","23921","40.3%","50.5%","4041","47.7%","7061","53.6%","11102","51.5%","12479","49.7%","1.7pp"
"Tester of the Tangential","U","U","27072","4.58","5058","5.96","22366","73.4%","53.1%","4006","55.1%","6082","54.4%","10088","54.7%","11931","51.7%","3.0pp"
"Textbook Tabulator","U","C","87367","7.24","10424","10.55","16611","26.2%","51.1%","3000","49.3%","4562","54.2%","7562","52.2%","8804","50.0%","2.2pp"
"Wisdom of Ages","U","R","13805","4.71","2797","5.89","10057","58.2%","55.6%","1652","50.7%","3226","62.1%","4878","58.2%","4785","51.4%","6.9pp"
"Adventurous Eater","B","C","76254","5.47","9778","7.84","42411","70.2%","54.5%","7409","53.2%","10277","55.4%","17686","54.5%","24430","54.5%","-0.0pp"
"Arcane Omens","B","U","37079","7.01","6392","8.88","15059","37.7%","57.6%","2550","57.0%","4490","64.4%","7040","61.7%","7751","53.3%","8.4pp"
"Arnyn, Deathbloom Botanist","B","U","25434","4.39","3686","6.00","14115","64.0%","52.1%","2440","49.6%","3550","52.8%","5990","51.5%","7985","52.4%","-0.9pp"
"Burrog Banemaker","B","C","78082","5.74","9935","8.32","38363","63.0%","54.0%","6864","54.7%","9211","54.1%","16075","54.4%","22033","53.7%","0.7pp"
