"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","9340","1.89","4014","1.88","21154","85.4%","52.2%","3384","47.6%","6831","56.9%","10215","53.8%","10512","50.0%","3.9pp"
"Rancorous Archaic","","C","352972","7.38","46764","10.60","82873","28.3%","51.3%","13714","48.8%","25455","56.2%","39169","53.6%","42832","49.0%","4.6pp"
"Sundering Archaic","","U","107356","4.45","29086","5.45","140291","75.3%","55.6%","23063","53.7%","43940","61.5%","67003","58.8%","70173","51.9%","6.9pp"
"Together as One","","R","19322","2.01","13454","1.95","78114","87.6%","58.1%","13196","61.4%","23715","67.9%","36911","65.6%","38045","49.6%","16.0pp"
"Transcendent Archaic","","U","125839","5.31","24464","7.07","91475","59.5%","53.7%","15034","52.0%","28238","59.6%","43272","56.9%","46665","50.1%","6.8pp"
"Ajani's Response","W","C","254720","4.57","54389","5.97","293584","83.2%","56.6%","49790","55.2%","81111","59.0%","130901","57.6%","160043","55.7%","1.8pp"
"Antiquities on the Loose","W","R","19107","1.92","11978","1.91","72914","90.8%","59.4%","13033","65.3%","19513","63.6%","32546","64.3%","39813","55.2%","9.0pp"
"Ascendant Dustspeaker","W","C","321340","6.23","48336","8.76","175792","56.4%","55.9%","28812","53.5%","48075","56.4%","76887","55.3%","98858","56.2%","-0.9pp"
"Daydream","W","U","136112","6.40","15827","9.53","22242","22.2%","51.2%","3714","47.8%","5588","49.7%","9302","48.9%","12884","52.7%","-3.8pp"
"Dig Site Inventory","W","C","297216","5.64","47361","7.75","207040","67.8%","55.9%","34750","54.7%","50376","55.8%","85126","55.4%","121493","56.2%","-0.8pp"
"Eager Glyphmage","W","C","320152","6.25","51736","8.60","196510","58.5%","56.6%","33287","55.7%","51291","56.2%","84578","56.0%","111379","57.1%","-1.1pp"
"Elite Interceptor","W","C","226432","4.17","65568","4.87","385070","89.2%","58.3%","70563","60.8%","100035","58.2%","170598","59.3%","213139","57.5%","1.8pp"
"Emeritus of Truce","W","M","9094","1.84","4946","1.83","27909","87.3%","56.6%","4925","59.2%","7469","58.0%","12394","58.5%","15403","55.1%","3.3pp"
"Ennis, Debate Moderator","W","U","119690","5.44","15955","7.70","49173","48.7%","52.8%","8722","48.2%","12394","51.2%","21116","50.0%","27944","54.9%","-5.0pp"
"Erode","W","R","26560","2.54","8590","2.80","46558","85.3%","55.3%","8010","52.9%","12631","58.3%","20641","56.2%","25513","54.5%","1.6pp"
"Graduation Day","W","U","116910","5.56","14300","8.01","37265","41.2%","52.7%","6555","52.2%","8882","50.1%","15437","51.0%","21735","53.9%","-2.9pp"
"Group Project","W","U","101788","4.40","24444","5.41","130424","82.0%","57.1%","23430","57.7%","32853","56.0%","56283","56.7%","74029","57.3%","-0.6pp"
"Harsh Annotation","W","U","128331","5.99","12227","9.44","19895","25.6%","51.1%","3315","47.6%","5030","51.5%","8345","50.0%","11430","52.0%","-2.0pp"
"Honorbound Page","W","C","328477","6.53","42311","9.44","111509","40.9%","54.6%","18876","51.5%","28204","54.2%","47080","53.1%","64199","55.6%","-2.5pp"
