"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Emeritus of Ideation // Ancestral Recall","U","mythic","11","2.601","10","2.09","8","2.094","8","2.112","5","1.8775","2.155","5"
"Germination Practicum","G","mythic","10","2.199","10","2.09","7.5","1.809","7","1.575","5","1.8775","1.91","5"
"Moment of Reckoning","B|W","rare","12","3.002","10","2.09","7.5","1.809","7.5","1.843","1","-1.7585","1.397","5"
"Akroma's Will","W","rare","5","0.192","10","2.09","7.5","1.809","7","1.575","","","1.416","5"
"""Quandrix, the Proof""","G|U","mythic","10","2.199","10","2.09","6.5","1.238","6.5","1.307","5","1.8775","1.742","5"
"Winds of Abandon","W","rare","10","2.199","10","2.09","7","1.523","7","1.575","","","1.847","5"
"Professor Dellian Fel","B|G","mythic","11","2.601","10","2.09","7.5","1.809","7.5","1.843","4.5","1.423","1.953","5"
"""Berta, Wise Extrapolator""","G|U","rare","9","1.798","8","1.299","4","-0.189","4","-0.035","4","0.9685","0.768","5"
"""Jadzi, Steward of Fate // Oracle's Gift""","U","rare","9","1.798","9","1.694","6.5","1.238","7","1.575","4.5","1.423","1.546","5"
"""Lorehold, the Historian""","R|W","mythic","10","2.199","9","1.694","7","1.523","7","1.575","4.5","1.423","1.683","5"
"Emeritus of Truce // Swords to Plowshares","W","mythic","10","2.199","10","2.09","6.5","1.238","6.5","1.307","4.5","1.423","1.651","5"
"Armageddon","W","mythic","1","-1.414","9","1.694","0","-2.472","2","-1.108","","","-0.825","5"
"Conciliator's Duelist","B|W","rare","7","0.995","9","1.694","6.5","1.238","6","1.038","4.5","1.423","1.278","5"
"Crackle with Power","R","mythic","5","0.192","9","1.694","7.5","1.809","7.5","1.843","","","1.385","5"
"Cyclonic Rift","U","mythic","10","2.199","9","1.694","5","0.382","5.5","0.77","","","1.261","5"
"Dismember","B","uncommon","7","0.995","9","1.694","7","1.523","6.5","1.307","","","1.38","5"
"""Silverquill, the Disputant""","B|W","mythic","8","1.396","9","1.694","6","0.952","6.5","1.307","4","0.9685","1.264","5"
"Sylvan Library","G","mythic","5","0.192","9","1.694","5","0.382","6","1.038","2.5","-0.395","0.582","5"
"Emeritus of Abundance // Regrowth","G","mythic","9","1.798","10","2.09","6.5","1.238","7","1.575","4.5","1.423","1.625","5"
"Improvisation Capstone","R","mythic","7","0.995","8","1.299","5","0.382","4.5","0.233","5","1.8775","0.957","5"
"Stirring Hopesinger","W","rare","9","1.798","8","1.299","6.5","1.238","6.5","1.307","5","1.8775","1.504","5"
"""Ral Zarek, Guest Lecturer""","B","mythic","8","1.396","5","0.111","5","0.382","4.5","0.233","3.5","0.514","0.527","5"
"Antiquities on the Loose","W","rare","10","2.199","9","1.694","7.5","1.809","7.5","1.843","4.5","1.423","1.794","5"
"Applied Geometry","G|U","rare","8","1.396","9","1.694","7.5","1.809","7.5","1.843","4","0.9685","1.542","5"
"Informed Inkwright","W","rare","7","0.995","9","1.694","6.5","1.238","6.5","1.307","4.75","1.6502","1.377","5"
"Magmablood Archaic","R","rare","5","0.192","9","1.694","5.5","0.667","6","1.038","4.5","1.423","1.003","5"
"Splatter Technique","R|U","rare","8","1.396","9","1.694","6","0.952","5.5","0.77","4","0.9685","1.156","5"
"Archmage Emeritus","U","rare","4","-0.21","8","1.299","6","0.952","5.5","0.77","4","0.9685","0.756","5"
"Murmuring Mystic","U","common","6","0.593","8","1.299","6","0.952","6","1.038","4","0.9685","0.97","5"
"Subterranean Tremors","R","mythic","5","0.192","8","1.299","7","1.523","4","-0.035","","","0.745","5"
"Triumph of the Hordes","G","uncommon","0","-1.816","8","1.299","0","-2.472","0","-2.181","","","-1.292","5"
"Traumatic Critique","R|U","rare","8","1.396","9","1.694","6","0.952","5.5","0.77","4","0.9685","1.156","5"
"Vicious Rivalry","B|G","rare","3","-0.611","9","1.694","5","0.382","5","0.502","3.5","0.514","0.496","5"
"Wildgrowth Archaic","G","rare","5","0.192","9","1.694","5.5","0.667","6","1.038","4.5","1.423","1.003","5"
"Colorstorm Stallion","R|U","rare","9","1.798","8","1.299","6","0.952","6","1.038","3.5","0.514","1.12","5"
"Vastlands Scavenger // Bind to Life","G","rare","9","1.798","8","1.299","7.5","1.809","8","2.112","4.5","1.423","1.688","5"
"Withering Curse","B","mythic","7","0.995","8","1.299","4.5","0.096","4.5","0.233","5","1.8775","0.9","5"
"Mind into Matter","G|U","rare","8","1.396","7","0.903","6.5","1.238","6","1.038","4","0.9685","1.109","5"
"""Blech, Loafing Pest""","B|G","rare","8","1.396","7","0.903","5.5","0.667","5.5","0.77","4.5","1.423","1.032","5"
"""Witherbloom, the Balancer""","B|G","mythic","5","0.192","7","0.903","6","0.952","5.5","0.77","4","0.9685","0.757","5"
"Cauldron of Essence","B|G","rare","8","1.396","9","1.694","5.5","0.667","6","1.038","4","0.9685","1.153","5"
"Ambitious Augmenter","G","rare","8","1.396","8","1.299","6.5","1.238","6.5","1.307","4","0.9685","1.242","5"
"Emeritus of Woe // Demonic Tutor","B","mythic","10","2.199","8","1.299","6.5","1.238","7","1.575","5","1.8775","1.638","5"
"Erode","W","rare","6","0.593","8","1.299","5","0.382","1","-1.645","3.75","0.7412","0.274","5"
"Stress Dream","R|U","uncommon","8","1.396","8","1.299","6","0.952","6.5","1.307","3.5","0.514","1.094","5"
"The Dawning Archaic","","mythic","5","0.192","8","1.299","6","0.952","6","1.038","1","-1.7585","0.344","5"
"Additive Evolution","G","uncommon","6","0.593","7","0.903","6","0.952","6","1.038","3.25","0.2867","0.755","5"
"Grave Researcher // Reanimate","B","rare","7","0.995","7","0.903","5","0.382","4.5","0.233","4.5","1.423","0.787","5"
