"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","180470","4.58","36060","6.27","164075","72.7%","53.3%","30409","51.9%","40289","55.2%","70698","53.8%","90914","52.6%","1.2pp"
"Rooftop Percher","","C","235885","6.48","35413","9.18","99690","44.6%","54.4%","16541","51.9%","25087","57.4%","41628","55.2%","56031","53.2%","2.0pp"
"Adept Watershaper","W","R","9062","2.12","4085","2.28","30779","88.2%","55.6%","5389","58.5%","7723","58.1%","13112","58.3%","17431","53.5%","4.8pp"
"Ajani, Outland Chaperone","W","M","3341","1.49","2107","1.52","17709","87.1%","55.8%","3268","62.3%","4456","59.2%","7724","60.5%","10066","52.3%","8.2pp"
"Appeal to Eirdu","W","C","249458","7.70","28447","11.20","19468","10.8%","52.3%","3040","47.0%","4538","52.6%","7578","50.4%","11897","53.6%","-3.2pp"
"Bark of Doran","W","U","94292","7.20","11300","10.51","8355","11.9%","49.9%","1428","47.5%","2102","51.0%","3530","49.6%","4835","50.2%","-0.6pp"
"Brigid, Clachan's Heart","W","R","9106","2.20","4078","2.34","30830","84.7%","56.3%","5590","62.0%","7394","60.5%","12984","61.2%","17245","52.4%","8.8pp"
"Burdened Stoneback","W","U","60935","4.46","10599","5.77","44872","66.9%","53.1%","8102","52.4%","10814","53.4%","18916","53.0%","26000","53.2%","-0.2pp"
"Champion of the Clachan","W","R","13027","2.82","3925","3.22","24003","74.0%","54.6%","4017","55.5%","5605","56.2%","9622","55.9%","13798","53.2%","2.7pp"
"Clachan Festival","W","U","50199","3.84","12292","4.63","63538","78.8%","55.6%","11173","55.8%","14771","57.5%","25944","56.8%","36629","54.4%","2.3pp"
"Crib Swap","W","U","71964","5.40","7338","8.29","16581","36.3%","50.7%","2755","48.4%","3981","50.8%","6736","49.9%","9566","51.0%","-1.2pp"
"Curious Colossus","W","M","4298","1.80","2436","1.83","18803","86.1%","56.8%","3148","58.4%","4865","66.5%","8013","63.3%","10780","52.0%","11.3pp"
"Eirdu, Carrier of Dawn","W","M","3403","1.47","2198","1.48","18002","88.5%","55.7%","3045","58.5%","4742","63.4%","7787","61.5%","10215","51.1%","10.4pp"
"Encumbered Reejerey","W","U","47232","3.57","13143","4.19","73833","85.6%","55.4%","13546","59.2%","17634","54.1%","31180","56.3%","41820","54.6%","1.8pp"
"Evershrike's Gift","W","U","79343","5.77","10890","8.13","29904","43.6%","53.5%","5000","49.9%","7041","55.6%","12041","53.2%","17882","53.7%","-0.5pp"
"Flock Impostor","W","U","53149","3.85","12192","4.79","64762","83.1%","54.9%","11342","53.4%","15444","56.2%","26786","55.0%","36820","54.4%","0.6pp"
"Gallant Fowlknight","W","C","220111","6.49","29513","9.19","90805","48.7%","54.8%","15103","53.2%","20731","55.3%","35834","54.5%","53462","54.7%","-0.2pp"
"Goldmeadow Nomad","W","C","224550","6.57","28346","9.39","74652","41.6%","53.8%","13265","54.0%","16199","51.8%","29464","52.8%","44537","54.4%","-1.6pp"
"Keep Out","W","C","192895","5.28","25473","7.66","96376","60.5%","53.0%","16507","51.2%","23371","53.6%","39878","52.6%","56528","53.3%","-0.7pp"
"Kinbinding","W","R","7446","1.82","4596","1.86","37791","90.1%","57.1%","6474","62.4%","9754","65.3%","16228","64.1%","21702","51.9%","12.2pp"
"Kinsbaile Aspirant","W","U","58707","4.42","12875","5.27","60715","71.5%","56.4%","11050","61.5%","13416","55.2%","24466","58.0%","35492","55.0%","3.1pp"
"Kinscaer Sentry","W","R","9769","2.20","4061","2.37","29354","85.5%","55.8%","5389","61.4%","6896","57.4%","12285","59.1%","16824","53.1%","6.0pp"
"Kithkeeper","W","U","73937","5.29","13201","7.05","41216","49.6%","51.8%","6696","48.7%","10979","56.8%","17675","53.7%","23167","50.0%","3.7pp"
"Liminal Hold","W","C","135904","3.77","34097","4.72","190052","87.2%","54.7%","31546","52.7%","47878","57.8%","79424","55.8%","110996","53.9%","1.9pp"
"Meanders Guide","W","U","60053","4.52","11370","5.80","51234","70.5%","54.4%","8874","53.3%","12634","54.7%","21508","54.1%","28896","54.2%","-0.1pp"
"Moonlit Lamenter","W","U","51128","3.87","12033","4.70","56286","72.5%","53.6%","9893","53.7%","14032","56.2%","23925","55.2%","32503","52.3%","2.8pp"
"Morningtide's Light","W","M","10092","3.38","2263","3.95","9667","62.4%","53.0%","1515","48.8%","2419","56.3%","3934","53.4%","5749","52.7%","0.7pp"
"Personify","W","U","69217","4.94","11756","6.64","45093","60.1%","54.4%","7365","52.5%","11002","56.8%","18367","55.1%","26749","53.9%","1.1pp"
"Protective Response","W","U","43607","3.33","12981","3.89","75739","89.5%","55.5%","12802","55.1%","18548","58.7%","31350","57.2%","44413","54.4%","2.9pp"
"Pyrrhic Strike","W","U","42906","3.28","14285","3.75","84520","88.4%","56.1%","14199","56.1%","21010","60.1%","35209","58.5%","49337","54.3%","4.1pp"
"Reluctant Dounguard","W","C","215149","6.17","25800","9.05","67417","41.5%","52.8%","11847","51.1%","15041","52.1%","26888","51.6%","39834","53.2%","-1.6pp"
"Rhys, the Evermore","W","R","11603","2.51","4026","2.73","24166","81.7%","52.4%","4254","51.0%","5962","53.6%","10216","52.5%","13916","52.4%","0.2pp"
"Riverguard's Reflexes","W","C","242034","7.28","28268","10.65","43818","24.6%","53.4%","7187","51.0%","10063","54.0%","17250","52.8%","26581","53.8%","-1.1pp"
"Shore Lurker","W","C","224093","6.46","28640","9.27","78576","43.5%","53.7%","13176","51.9%","19574","54.9%","32750","53.7%","44721","53.4%","0.3pp"
"Slumbering Walker","W","R","9043","2.05","4478","2.17","32692","84.7%","56.1%","5561","57.8%","8354","61.0%","13915","59.8%","18802","53.3%","6.4pp"
"Spiral into Solitude","W","C","152705","4.16","32025","5.39","173836","85.9%","54.4%","29772","51.5%","42381","56.4%","72153","54.4%","101739","54.4%","0.0pp"
"Sun-Dappled Celebrant","W","C","211312","5.90","28340","8.44","87121","49.3%","52.5%","14174","51.0%","21885","54.1%","36059","52.9%","51439","52.2%","0.7pp"
"Thoughtweft Imbuer","W","U","53293","4.23","13004","4.93","62729","72.5%","56.3%","10659","57.2%","14745","59.5%","25404","58.5%","36048","54.2%","4.3pp"
"Timid Shieldbearer","W","C","203899","5.66","33057","7.70","146218","69.6%","55.2%","26822","54.6%","33101","55.4%","59923","55.0%","84988","55.1%","-0.1pp"
"Tributary Vaulter","W","C","219333","6.40","32227","8.79","116331","56.8%","55.2%","20303","54.5%","27839","55.5%","48142","55.1%","66221","55.0%","0.1pp"
